ID;COLOR;MARCA;KILOMETRAJE
814;Azul;Porsche;77228.073
815;Amarillo;Suzuki;16452.933
816;Azul;CUPRA;22245.211
817;Verde;Dacia;94946.99
818;Amarillo;McLaren;40907.598
819;Blanco;Mercedes-Benz;41293.57
820;Blanco;Dacia;51468.478
821;Amarillo;Nissan;25669.768
822;Azul;Ferrari;63140.246
823;Verde;Volkswagen;99593.946
824;Azul;SsangYong;15946.199
825;Blanco;Lotus;61401.453
826;Azul;Suzuki;87496.495
827;Verde;Alpine;19867.654
828;Amarillo;Rolls-Royce;2665.214
829;Azul;Honda;14247.654
830;Negro;Hyundai;67530.845
831;Blanco;Skoda;36459.747
832;Negro;Mazda;40645.277
833;Rojo;Fiat;31877.331
834;Blanco;Porsche;30938.742
835;Negro;Opel;81653.108
836;Verde;Fiat;5260.587
837;Negro;Toyota;61308.913
838;Negro;Volkswagen;12295.76
839;Rojo;Fiat;39300.657
840;Azul;Bentley;669.644
841;Negro;Mercedes-Benz;4414.8
842;Blanco;MINI;74432.108
843;Blanco;Abarth;63361.656
844;Negro;Ferrari;90455.323
845;Negro;Ferrari;18180.735
846;Negro;Toyota;40937.012
847;Negro;Nissan;47630.597
848;Rojo;Dacia;66206.045
849;Amarillo;Abarth;75354.239
850;Amarillo;Jeep;24103.865
851;Rojo;Nissan;232.263
852;Azul;DS;72772.752
853;Amarillo;Porsche;98088.891
854;Negro;BMW;53818.46
855;Amarillo;Mercedes-Benz;28116.735
856;Blanco;Bugatti;47315.337
857;Verde;Bentley;8538.924
858;Azul;Lotus;93459.033
859;Verde;Lotus;72823.26
860;Negro;Maserati;77006.119
861;Blanco;AlfaRomeo;6081.282
862;Blanco;AstonMartin;68818.258
863;Amarillo;Ferrari;59192.059
864;Negro;Tesla;37386.758
865;Rojo;Lamborghini;80939.873
866;Rojo;Rivian;35373.739
867;Verde;Polestar;23488.314
868;Rojo;Koenigsegg;39879.038
869;Azul;Volvo;8459.525
870;Rojo;Jaguar;67924.896
871;Rojo;Fiat;76562.709
872;Rojo;Toyota;92828.762
873;Rojo;Lamborghini;37124.654
874;Amarillo;Bugatti;74680.672
875;Verde;Rolls-Royce;31208.097
876;Amarillo;Jeep;65715.928
877;Rojo;Koenigsegg;86640.474
878;Rojo;Volvo;15323.734
879;Blanco;Mitsubishi;80781.96
880;Blanco;Subaru;40793.308
881;Verde;Citroën;9992.084
882;Amarillo;Bugatti;39393.416
883;Amarillo;Toyota;58449.556
884;Azul;SsangYong;40419.364
885;Amarillo;Lotus;45369.553
886;Amarillo;Dacia;57520.886
887;Azul;Toyota;33062.735
888;Azul;BMW;31730.464
889;Verde;Suzuki;90194.666
890;Verde;Volvo;13616.594
891;Verde;Volvo;8724.632
892;Verde;Infiniti;33051.154
893;Azul;Toyota;70207.763
894;Blanco;Opel;41051.321
895;Rojo;Mazda;90500.518
896;Negro;Infiniti;78570.208
897;Blanco;Koenigsegg;51670.642
898;Azul;Bentley;60188.662
899;Verde;Subaru;58520.338
900;Negro;Alpine;39314.093
901;Blanco;Skoda;54214.255
902;Amarillo;Infiniti;8318.092
903;Amarillo;Koenigsegg;56878.543
904;Verde;MINI;49328.322
905;Amarillo;Rivian;65707.535
906;Rojo;Smart;86104.269
907;Blanco;Citroën;52272.026
909;Verde;Dacia;38746.323
911;Blanco;LandRover;50227.122
913;Verde;MINI;60959.081
914;Amarillo;AlfaRomeo;48762.995
915;Rojo;Maserati;74051.755
916;Rojo;Lotus;22319.312
917;Azul;Hyundai;38298.71
918;Blanco;Fiat;74341.235
919;Rojo;Mitsubishi;13309.024
920;Blanco;Pagani;99070.469
921;Azul;Renault;11837.384
922;Blanco;KIA;26091.428
923;Rojo;Maserati;34643.627
924;Amarillo;LandRover;62554.028
925;Negro;Smart;44304.107
926;Rojo;Lamborghini;79569.967
927;Rojo;McLaren;18202.724
928;Azul;Suzuki;81842.413
929;Amarillo;Abarth;62702.194
930;Rojo;Mazda;98585.357
931;Verde;AlfaRomeo;37677.943
932;Azul;Bugatti;42422.68
933;Azul;Maserati;27816.676
934;Rojo;Mazda;38825.907
935;Amarillo;Jaguar;41155.449
936;Azul;Abarth;74038.805
937;Blanco;Fiat;20269.184
938;Blanco;Hyundai;16319.049
939;Verde;Audi;13496.092
940;Blanco;McLaren;60362.383
941;Amarillo;Tesla;86000.551
942;Azul;Volvo;34310.575
943;Verde;Smart;8877.867
944;Azul;LandRover;3816.309
945;Blanco;BMW;71659.103
946;Negro;AlfaRomeo;48968.411
947;Rojo;Subaru;34418.013
948;Amarillo;Lotus;72879.947
949;Amarillo;Opel;2345.101
950;Amarillo;Hyundai;507.029
951;Amarillo;AstonMartin;42452.296
952;Verde;Suzuki;22583.162
953;Verde;CUPRA;10509.655
954;Blanco;Ferrari;41894.962
955;Amarillo;Mazda;50084.124
956;Azul;LandRover;51650.553
957;Verde;Rolls-Royce;15528.897
958;Amarillo;Lexus;62249.299
959;Negro;Polestar;50026.327
960;Verde;Jaguar;41886.055
961;Blanco;AlfaRomeo;78572.01
962;Rojo;Honda;26337.461
963;Verde;Mercedes-Benz;6543.597
964;Amarillo;Honda;16892.065
965;Rojo;LandRover;16854.246
966;Amarillo;Lamborghini;35297.934
967;Verde;Lexus;44463.709
968;Negro;MINI;58096.085
969;Azul;DS;55213.813
970;Amarillo;Peugeot;56758.082
971;Azul;Hyundai;37760.836
972;Verde;Volkswagen;26311.839
973;Negro;Ferrari;21174.124
974;Verde;Jeep;74968.521
975;Verde;Bugatti;87124.392
976;Rojo;Subaru;56690.662
977;Verde;Ford;52250.542
978;Azul;CUPRA;73389.997
979;Amarillo;Polestar;43212.039
980;Verde;Hyundai;23922.941
981;Blanco;Audi;81233.452
982;Blanco;Subaru;83360.06
983;Rojo;AlfaRomeo;83945.588
984;Amarillo;Pagani;12928.231
985;Amarillo;Skoda;96527.135
986;Azul;Opel;13033.267
987;Negro;AstonMartin;90243.743
988;Azul;BMW;78026.602
989;Amarillo;MINI;40346.528
990;Verde;Smart;10730.065
991;Amarillo;Porsche;84995.749
992;Blanco;LandRover;30712.695
993;Verde;Bugatti;7671.717
994;Azul;Hyundai;16145.871
995;Azul;Abarth;4865.185
996;Blanco;Mercedes-Benz;62657.818
997;Verde;LandRover;43332.522
998;Amarillo;Rivian;11563.281
999;Rojo;KIA;63673.296
1000;Negro;Polestar;86444.404
